glyph_name,ps_name,USV,sort_final,in_neo
radical,radical,U+221A,332,Y
infinity,infinity,U+221E,333,Y
integral,integral,U+222B,334,Y
approxequal,approxequal,U+2248,335,Y
notequal,notequal,U+2260,336,Y
lessequal,lessequal,U+2264,337,Y
greaterequal,greaterequal,U+2265,338,Y
uni2423,uni2423,U+2423,339,Y
lozenge,lozenge,U+25CA,340,Y
circledotted,circledotted,U+25CC,341,Y
ya-tifi,uni2D30,U+2D30,2300,
ya-tifi.v01,uni2D30.v01,,2300.01,
ya-tifi.neo,uni2D30.neo,,2300.05,Y
yab-tifi,uni2D31,U+2D31,2301,Y
yab-tifi.v01,uni2D31.v01,,2301.01,
yabyatLig-tifi,uni2D31_uni2D7F_uni2D5C,,2301.5120,
yabyatLig-tifi.rtl,uni2D31_uni2D7F_uni2D5C.rtl,,2301.51205,
yabyatLig-tifi.v01,uni2D31_uni2D7F_uni2D5C.v01,,2301.5121,
yabLabializationMarkLig-tifi,uni2D31_uni2D6F,,2301.9,
yabh-tifi,uni2D32,U+2D32,2302,Y
yag-tifi,uni2D33,U+2D33,2303,Y
yag-tifi.v01,uni2D33.v01,,2303.01,
yagLabializationMarkLig-tifi,uni2D33_uni2D6F,,2303.9,Y
yaghh-tifi,uni2D34,U+2D34,2304,Y
yaghh-tifi.v01,uni2D34.v01,,2304.01,
yaghhyatLig-tifi,uni2D34_uni2D7F_uni2D5C,,2304.5120,
yaghhyatLig-tifi.rtl,uni2D34_uni2D7F_uni2D5C.rtl,,2304.51205,
yaghhyatLig-tifi.v01,uni2D34_uni2D7F_uni2D5C.v01,,2304.5121,
yaghhyatLig-tifi.v01.rtl,uni2D34_uni2D7F_uni2D5C.v01.rtl,,2304.51215,
yajBerberAcademy-tifi,uni2D35,U+2D35,2305,Y
yaj-tifi,uni2D36,U+2D36,2306,Y
yaj-tifi.v01,uni2D36.v01,,2306.01,
yajyatLig-tifi,uni2D36_uni2D7F_uni2D5C,,2306.5120,
yajyatLig-tifi.rtl,uni2D36_uni2D7F_uni2D5C.rtl,,2306.51215,
yad-tifi,uni2D37,U+2D37,2307,Y
yad-tifi.v01,uni2D37.v01,,2307.01,
yadh-tifi,uni2D38,U+2D38,2308,Y
yadh-tifi.v01,uni2D38.v01,,2308.01,
yadd-tifi,uni2D39,U+2D39,2309,Y
yadd-tifi.rtl,uni2D39.rtl,,2309.005,
yaddh-tifi,uni2D3A,U+2D3A,2310,Y
yey-tifi,uni2D3B,U+2D3B,2311,Y
yaf-tifi,uni2D3C,U+2D3C,2312,
yaf-tifi.v01,uni2D3C.v01,,2312.01,
yaf-tifi.v02,uni2D3C.v02,,2312.02,
yaf-tifi.neo,uni2D3C.neo,,2312.05,Y
yafyatLig-tifi,uni2D3C_uni2D7F_uni2D5C,,2312.512,
yafyatLig-tifi.rtl,uni2D3C_uni2D7F_uni2D5C.rtl,,2312.51205,
yafyatLig-tifi.v01,uni2D3C_uni2D7F_uni2D5C.v01,,2312.5121,
yafyatLig-tifi.v01.rtl,uni2D3C_uni2D7F_uni2D5C.v01.rtl,,2312.51215,
yafyatLig-tifi.v02,uni2D3C_uni2D7F_uni2D5C.v02,,2312.5122,
yafyatLig-tifi.v02.rtl,uni2D3C_uni2D7F_uni2D5C.v02.rtl,,2312.51225,
yafyatLig-tifi.v03,uni2D3C_uni2D7F_uni2D5C.v03,,2312.5123,
yafyatLig-tifi.v04,uni2D3C_uni2D7F_uni2D5C.v04,,2312.5124,
yak-tifi,uni2D3D,U+2D3D,2313,Y
yakLabializationMarkLig-tifi,uni2D3D_uni2D6F,,2313.9,Y
yakTuareg-tifi,uni2D3E,U+2D3E,2314,Y
yakTuareg-tifi.rtl,uni2D3E.rtl,,2314.005,
yakhh-tifi,uni2D3F,U+2D3F,2315,Y
yah-tifi,uni2D40,U+2D40,2400,Y
yah-tifi.v01,uni2D40.v01,,2400.01,
yahyatLig-tifi,uni2D40_uni2D7F_uni2D5C,,2400.10,
yahyatLig-tifi.rtl,uni2D40_uni2D7F_uni2D5C.rtl,,2400.105,
yahBerberAcademy-tifi,uni2D41,U+2D41,2401,Y
yahTuareg-tifi,uni2D42,U+2D42,2402,Y
yahh-tifi,uni2D43,U+2D43,2403,Y
yaa-tifi,uni2D44,U+2D44,2404,Y
yakh-tifi,uni2D45,U+2D45,2405,Y
yakhLabializationMarkLig-tifi,uni2D45_uni2D6F,,2405.9,Y
yakhTuareg-tifi,uni2D46,U+2D46,2406,Y
yaq-tifi,uni2D47,U+2D47,2407,Y
yaqLabializationMarkLig-tifi,uni2D47_uni2D6F,,2407.9,Y
yaqTuareg-tifi,uni2D48,U+2D48,2408,Y
yi-tifi,uni2D49,U+2D49,2409,Y
yi-tifi.rtl,uni2D49.rtl,,2409.005,
yiyatLig-tifi,uni2D49_uni2D7F_uni2D5C,,2409.5120,
yiyatLig-tifi.rtl,uni2D49_uni2D7F_uni2D5C.rtl,,2409.51205,
yazh-tifi,uni2D4A,U+2D4A,2410,Y
yazhAhaggar-tifi,uni2D4B,U+2D4B,2411,Y
yazhAhaggar-tifi.v01,uni2D4B.v01,,2411.01,
yazhAhaggaryatLig-tifi,uni2D4B_uni2D7F_uni2D5C,,2411.5120,
yazhAhaggaryatLig-tifi.rtl,uni2D4B_uni2D7F_uni2D5C.rtl,,2411.51205,
yazhAhaggaryatLig-tifi.v01,uni2D4B_uni2D7F_uni2D5C.v01,,2411.5121,
yazhAhaggaryatLig-tifi.v01.rtl,uni2D4B_uni2D7F_uni2D5C.v01.rtl,,2411.51215,
yazhTuareg-tifi,uni2D4C,U+2D4C,2412,Y
yazhTuaregyatLig-tifi,uni2D4C_uni2D7F_uni2D5C,,2412.5120,
yazhTuaregyatLig-tifi.rtl,uni2D4C_uni2D7F_uni2D5C.rtl,,2412.51205,
yazhTuaregyatLig-tifi.v01,uni2D4C_uni2D7F_uni2D5C.v01,,2412.5121,
yazhTuaregyatLig-tifi.v01.rtl,uni2D4C_uni2D7F_uni2D5C.v01.rtl,,2412.51215,
yazhTuaregyatLig-tifi.v02,uni2D4C_uni2D7F_uni2D5C.v02,,2412.5122,
yal-tifi,uni2D4D,U+2D4D,2413,
yal-tifi.neo,uni2D4D.neo,,2413.05,Y
yal-tifi.raised,uni2D4D.raised,,2413.06,
yal-tifi.slant,uni2D4D.slant,,2413.07,
yal-tifi.slant.rtl,uni2D4D.slant.rtl,,2413.075,
